Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X4, ncRNA",Bombus terrestris,273,273,95%,7e-69,88.73,3171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224643.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8BBD53C016"",""XR_007224643.1"")"
"Bombus terrestris genome assembly, chromosome: 7",Bombus terrestris,228,1359,100%,3e-55,79.50,25524254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342927.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8BBD53C016"",""OU342927.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126922800 (LOC126922800), ncRNA",Bombus affinis,215,215,96%,2e-51,81.02,1198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007712940.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8BBD53C016"",""XR_007712940.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X9, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224648.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8BBD53C016"",""XR_007224648.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X8, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3057,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224647.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8BBD53C016"",""XR_007224647.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X7, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224646.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8BBD53C016"",""XR_007224646.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X6, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224645.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8BBD53C016"",""XR_007224645.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X5, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224644.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8BBD53C016"",""XR_007224644.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X3, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224642.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8BBD53C016"",""XR_007224642.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X2, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224641.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8BBD53C016"",""XR_007224641.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC105665864 (LOC105665864), transcript variant X1, ncRNA",Bombus terrestris,201,201,95%,4e-47,79.81,3151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224640.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8BBD53C016"",""XR_007224640.1"")"
"Bombus terrestris genome assembly, chromosome: 3",Bombus terrestris,196,657,99%,2e-45,93.75,22099476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342923.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8BBD53C016"",""OU342923.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125386612 (LOC125386612), ncRNA",Bombus terrestris,187,328,99%,8e-43,92.19,6753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007226949.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8BBD53C016"",""XR_007226949.1"")"
"Bombus terrestris genome assembly, chromosome: 17",Bombus terrestris,187,2772,100%,8e-43,92.19,11646943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342937.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8BBD53C016"",""OU342937.1"")"
"Bombus terrestris genome assembly, chromosome: 6",Bombus terrestris,186,5333,100%,3e-42,91.54,23129593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342926.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8BBD53C016"",""OU342926.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126916564 (LOC126916564), mRNA",Bombus affinis,182,333,99%,3e-41,91.41,3030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050722506.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8BBD53C016"",""XM_050722506.1"")"
"Bombus pratorum genome assembly, chromosome: 5",Bombus pratorum,182,577,100%,3e-41,91.41,18497082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883987.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8BBD53C016"",""OV883987.1"")"
"Bombus pratorum genome assembly, chromosome: 13",Bombus pratorum,181,639,100%,3e-41,90.77,13032505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883995.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8BBD53C016"",""OV883995.1"")"
"Bombus hypnorum genome assembly, chromosome: 9",Bombus hypnorum,178,574,100%,4e-40,90.62,19428308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427028.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8BBD53C016"",""OU427028.1"")"
"Bombus terrestris genome assembly, chromosome: 2",Bombus terrestris,178,874,100%,4e-40,90.62,19735706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342922.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8BBD53C016"",""OU342922.1"")"
"Bombus hypnorum genome assembly, chromosome: 12",Bombus hypnorum,177,577,100%,1e-39,90.00,15228950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427031.1?report=genbank&log$=nucltop&blast_rank=21&RID=M8BBD53C016"",""OU427031.1"")"
"Bombus terrestris genome assembly, chromosome: 13",Bombus terrestris,176,326,96%,1e-39,91.80,14593050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342933.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8BBD53C016"",""OU342933.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384903 (LOC125384903), ncRNA",Bombus terrestris,173,173,57%,2e-38,89.84,1425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223753.1?report=genbank&log$=nucltop&blast_rank=23&RID=M8BBD53C016"",""XR_007223753.1"")"
"Bombus terrestris genome assembly, chromosome: 9",Bombus terrestris,173,173,57%,2e-38,89.84,19446242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342929.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8BBD53C016"",""OU342929.1"")"
"Bombus terrestris genome assembly, chromosome: 4",Bombus terrestris,173,3281,100%,2e-38,89.84,18668021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342924.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8BBD53C016"",""OU342924.1"")"
"Bombus pascuorum genome assembly, chromosome: 2",Bombus pascuorum,173,305,96%,2e-38,91.06,23406401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995269.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8BBD53C016"",""HG995269.1"")"
"Bombus pratorum genome assembly, chromosome: 11",Bombus pratorum,172,300,100%,2e-38,89.23,13796444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883993.1?report=genbank&log$=nucltop&blast_rank=27&RID=M8BBD53C016"",""OV883993.1"")"
"Bombus terrestris genome assembly, chromosome: 11",Bombus terrestris,170,295,98%,6e-38,90.32,20781255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342931.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8BBD53C016"",""OU342931.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384895 (LOC125384895), transcript variant X2, ncRNA",Bombus terrestris,168,168,57%,2e-37,89.06,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223745.1?report=genbank&log$=nucltop&blast_rank=29&RID=M8BBD53C016"",""XR_007223745.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384895 (LOC125384895), transcript variant X1, ncRNA",Bombus terrestris,168,168,57%,2e-37,89.06,1065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223744.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8BBD53C016"",""XR_007223744.1"")"
"Bombus pascuorum genome assembly, chromosome: 11",Bombus pascuorum,168,301,100%,2e-37,88.72,13283095,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995278.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8BBD53C016"",""HG995278.1"")"
"Bombus hypnorum genome assembly, chromosome: 6",Bombus hypnorum,163,286,100%,9e-36,87.69,24264022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427025.1?report=genbank&log$=nucltop&blast_rank=32&RID=M8BBD53C016"",""OU427025.1"")"
"Bombus hypnorum genome assembly, chromosome: 3",Bombus hypnorum,163,286,100%,9e-36,87.69,25048444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427022.1?report=genbank&log$=nucltop&blast_rank=33&RID=M8BBD53C016"",""OU427022.1"")"
"Bombus hypnorum genome assembly, chromosome: 1",Bombus hypnorum,163,573,100%,9e-36,87.69,28433842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427020.1?report=genbank&log$=nucltop&blast_rank=34&RID=M8BBD53C016"",""OU427020.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915718 (LOC126915718), transcript variant X6, ncRNA",Bombus affinis,162,2490,96%,3e-35,89.34,42022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007710304.1?report=genbank&log$=nucltop&blast_rank=35&RID=M8BBD53C016"",""XR_007710304.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915718 (LOC126915718), transcript variant X5, ncRNA",Bombus affinis,162,2490,96%,3e-35,89.34,42096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007710303.1?report=genbank&log$=nucltop&blast_rank=36&RID=M8BBD53C016"",""XR_007710303.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915718 (LOC126915718), transcript variant X4, ncRNA",Bombus affinis,162,2766,96%,3e-35,89.34,46660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007710302.1?report=genbank&log$=nucltop&blast_rank=37&RID=M8BBD53C016"",""XR_007710302.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915718 (LOC126915718), transcript variant X3, ncRNA",Bombus affinis,162,2766,96%,3e-35,89.34,46734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007710301.1?report=genbank&log$=nucltop&blast_rank=38&RID=M8BBD53C016"",""XR_007710301.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915718 (LOC126915718), transcript variant X2, ncRNA",Bombus affinis,162,3043,96%,3e-35,89.34,51298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007710300.1?report=genbank&log$=nucltop&blast_rank=39&RID=M8BBD53C016"",""XR_007710300.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915718 (LOC126915718), transcript variant X1, ncRNA",Bombus affinis,162,3043,96%,3e-35,89.34,51372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007710299.1?report=genbank&log$=nucltop&blast_rank=40&RID=M8BBD53C016"",""XR_007710299.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915709 (LOC126915709), transcript variant X3, mRNA",Bombus affinis,162,276,96%,3e-35,89.34,4443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050720649.1?report=genbank&log$=nucltop&blast_rank=41&RID=M8BBD53C016"",""XM_050720649.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915709 (LOC126915709), transcript variant X2, mRNA",Bombus affinis,162,276,96%,3e-35,89.34,4517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050720648.1?report=genbank&log$=nucltop&blast_rank=42&RID=M8BBD53C016"",""XM_050720648.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126915709 (LOC126915709), transcript variant X1, mRNA",Bombus affinis,162,276,96%,3e-35,89.34,4986,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050720647.1?report=genbank&log$=nucltop&blast_rank=43&RID=M8BBD53C016"",""XM_050720647.1"")"
"Bombus terrestris genome assembly, chromosome: 5",Bombus terrestris,161,564,98%,3e-35,88.71,14194883,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342925.1?report=genbank&log$=nucltop&blast_rank=44&RID=M8BBD53C016"",""OU342925.1"")"
"PREDICTED: Bombus impatiens uncharacterized LOC112213602 (LOC112213602), ncRNA",Bombus impatiens,160,274,100%,1e-34,87.69,1621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_002947495.2?report=genbank&log$=nucltop&blast_rank=45&RID=M8BBD53C016"",""XR_002947495.2"")"
"Bombus hypnorum genome assembly, chromosome: 10",Bombus hypnorum,159,555,100%,4e-34,86.92,17341403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427029.1?report=genbank&log$=nucltop&blast_rank=46&RID=M8BBD53C016"",""OU427029.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126927393 (LOC126927393), transcript variant X2, mRNA",Bombus affinis,155,155,48%,5e-33,91.67,1347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050743548.1?report=genbank&log$=nucltop&blast_rank=47&RID=M8BBD53C016"",""XM_050743548.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126927393 (LOC126927393), transcript variant X1, mRNA",Bombus affinis,155,155,48%,5e-33,91.67,1530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050743547.1?report=genbank&log$=nucltop&blast_rank=48&RID=M8BBD53C016"",""XM_050743547.1"")"
"Bombus hypnorum genome assembly, chromosome: 7",Bombus hypnorum,154,277,100%,5e-33,86.15,23541710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427026.1?report=genbank&log$=nucltop&blast_rank=49&RID=M8BBD53C016"",""OU427026.1"")"
"Bombus campestris genome assembly, chromosome: 14",Bombus campestris,146,146,55%,3e-30,86.18,10482001,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995139.1?report=genbank&log$=nucltop&blast_rank=50&RID=M8BBD53C016"",""HG995139.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126916165 (LOC126916165), mRNA",Bombus affinis,141,141,48%,3e-29,88.89,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050721662.1?report=genbank&log$=nucltop&blast_rank=51&RID=M8BBD53C016"",""XM_050721662.1"")"
"Bombus pratorum genome assembly, chromosome: 16",Bombus pratorum,141,141,52%,3e-29,86.44,11389935,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883998.1?report=genbank&log$=nucltop&blast_rank=52&RID=M8BBD53C016"",""OV883998.1"")"
"Bombus hypnorum genome assembly, chromosome: 2",Bombus hypnorum,135,258,100%,5e-27,82.71,27344555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427021.1?report=genbank&log$=nucltop&blast_rank=53&RID=M8BBD53C016"",""OU427021.1"")"
"Bombus sylvestris genome assembly, chromosome: 11",Bombus sylvestris,132,253,95%,2e-26,83.74,12571214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU443150.1?report=genbank&log$=nucltop&blast_rank=54&RID=M8BBD53C016"",""OU443150.1"")"
"Bombus campestris genome assembly, chromosome: 3",Bombus campestris,132,132,55%,2e-26,83.74,15826245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995128.1?report=genbank&log$=nucltop&blast_rank=55&RID=M8BBD53C016"",""HG995128.1"")"
