Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3224,3224,53%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIN93571.1?report=genbank&log$=prottop&blast_rank=1&RID=MB0VCBV1016"",""QIN93571.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3221,3221,53%,0.0,98.10,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23644.1?report=genbank&log$=prottop&blast_rank=2&RID=MB0VCBV1016"",""UGV23644.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3219,3219,53%,0.0,97.97,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=3&RID=MB0VCBV1016"",""UGV23652.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3218,3218,53%,0.0,98.03,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65059.1?report=genbank&log$=prottop&blast_rank=4&RID=MB0VCBV1016"",""AYP65059.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3217,3217,53%,0.0,98.09,1631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65061.1?report=genbank&log$=prottop&blast_rank=5&RID=MB0VCBV1016"",""AYP65061.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3216,3216,53%,0.0,97.97,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23640.1?report=genbank&log$=prottop&blast_rank=6&RID=MB0VCBV1016"",""UGV23640.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3215,3215,53%,0.0,97.54,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94190.1?report=genbank&log$=prottop&blast_rank=7&RID=MB0VCBV1016"",""QKW94190.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3215,3215,53%,0.0,97.67,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZR93827.1?report=genbank&log$=prottop&blast_rank=8&RID=MB0VCBV1016"",""QZR93827.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3214,3214,53%,0.0,97.73,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23646.1?report=genbank&log$=prottop&blast_rank=9&RID=MB0VCBV1016"",""UGV23646.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3213,3213,53%,0.0,97.85,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23648.1?report=genbank&log$=prottop&blast_rank=10&RID=MB0VCBV1016"",""UGV23648.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3213,3213,53%,0.0,97.60,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94192.1?report=genbank&log$=prottop&blast_rank=11&RID=MB0VCBV1016"",""QKW94192.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3212,3212,53%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=12&RID=MB0VCBV1016"",""UGV23638.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3212,3212,53%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23636.1?report=genbank&log$=prottop&blast_rank=13&RID=MB0VCBV1016"",""UGV23636.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3212,3212,53%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23654.1?report=genbank&log$=prottop&blast_rank=14&RID=MB0VCBV1016"",""UGV23654.1"")"
