Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus pyrosoma],Bombus pyrosoma,271,271,99%,7e-87,99.25,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043595066.1?report=genbank&log$=prottop&blast_rank=1&RID=M8DGMS10016"",""XP_043595066.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Bombus terrestris],Bombus terrestris,271,271,99%,8e-87,99.25,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003398817.1?report=genbank&log$=prottop&blast_rank=2&RID=M8DGMS10016"",""XP_003398817.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,270,270,99%,2e-86,98.51,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033206492.1?report=genbank&log$=prottop&blast_rank=3&RID=M8DGMS10016"",""XP_033206492.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus impatiens],Bombus impatiens,270,270,99%,2e-86,98.51,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003489647.1?report=genbank&log$=prottop&blast_rank=4&RID=M8DGMS10016"",""XP_003489647.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus huntii],Bombus huntii,270,270,99%,3e-86,98.51,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050471046.1?report=genbank&log$=prottop&blast_rank=5&RID=M8DGMS10016"",""XP_050471046.1"")"
PREDICTED: feline leukemia virus subgroup C receptor-related protein 2 [Eufriesea mexicana],Eufriesea mexicana,251,251,99%,8e-79,89.55,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017764497.1?report=genbank&log$=prottop&blast_rank=6&RID=M8DGMS10016"",""XP_017764497.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis mellifera carnica],Apis mellifera carnica,237,237,99%,2e-73,85.71,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG9436236.1?report=genbank&log$=prottop&blast_rank=7&RID=M8DGMS10016"",""KAG9436236.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis mellifera],Apis mellifera,237,237,99%,2e-73,85.71,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016770560.2?report=genbank&log$=prottop&blast_rank=8&RID=M8DGMS10016"",""XP_016770560.2"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis mellifera caucasica],Apis mellifera caucasica,237,237,99%,2e-73,85.71,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6800348.1?report=genbank&log$=prottop&blast_rank=9&RID=M8DGMS10016"",""KAG6800348.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Apis florea],Apis florea,235,235,99%,6e-73,85.71,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003691133.1?report=genbank&log$=prottop&blast_rank=10&RID=M8DGMS10016"",""XP_003691133.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis cerana],Apis cerana,235,235,99%,1e-72,84.96,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016919464.1?report=genbank&log$=prottop&blast_rank=11&RID=M8DGMS10016"",""XP_016919464.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Frieseomelitta varia],Frieseomelitta varia,234,234,99%,1e-72,82.84,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043524473.1?report=genbank&log$=prottop&blast_rank=12&RID=M8DGMS10016"",""XP_043524473.1"")"
PREDICTED: feline leukemia virus subgroup C receptor-related protein 2 isoform X2 [Habropoda laboriosa],Habropoda laboriosa,233,233,99%,3e-72,83.58,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017797546.1?report=genbank&log$=prottop&blast_rank=13&RID=M8DGMS10016"",""XP_017797546.1"")"
PREDICTED: feline leukemia virus subgroup C receptor-related protein 2 isoform X1 [Habropoda laboriosa],Habropoda laboriosa,233,233,99%,4e-72,83.58,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017797545.1?report=genbank&log$=prottop&blast_rank=14&RID=M8DGMS10016"",""XP_017797545.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Apis dorsata],Apis dorsata,233,233,99%,4e-72,84.21,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031366314.1?report=genbank&log$=prottop&blast_rank=15&RID=M8DGMS10016"",""XP_031366314.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Colletes gigas],Colletes gigas,229,229,99%,3e-70,79.70,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043252564.1?report=genbank&log$=prottop&blast_rank=16&RID=M8DGMS10016"",""XP_043252564.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Ceratina calcarata],Ceratina calcarata,223,223,99%,5e-68,78.95,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017883948.1?report=genbank&log$=prottop&blast_rank=17&RID=M8DGMS10016"",""XP_017883948.1"")"
PREDICTED: titin [Megachile rotundata],Megachile rotundata,232,232,99%,2e-67,79.85,1435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012135309.1?report=genbank&log$=prottop&blast_rank=18&RID=M8DGMS10016"",""XP_012135309.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Osmia bicornis bicornis],Osmia bicornis bicornis,219,219,99%,1e-66,76.87,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029044911.1?report=genbank&log$=prottop&blast_rank=19&RID=M8DGMS10016"",""XP_029044911.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Osmia lignaria],Osmia lignaria,219,219,99%,1e-66,76.12,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034174889.1?report=genbank&log$=prottop&blast_rank=20&RID=M8DGMS10016"",""XP_034174889.1"")"
hypothetical protein HN011_012314 [Eciton burchellii],Eciton burchellii,218,218,99%,3e-65,73.13,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0948184.1?report=genbank&log$=prottop&blast_rank=21&RID=M8DGMS10016"",""KAH0948184.1"")"
hypothetical protein KM043_008483 [Ampulex compressa],Ampulex compressa,215,215,99%,6e-65,73.68,473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7188877.1?report=genbank&log$=prottop&blast_rank=22&RID=M8DGMS10016"",""KAG7188877.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like isoform X1 [Nomia melanderi],Nomia melanderi,214,214,99%,1e-64,72.39,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031829048.1?report=genbank&log$=prottop&blast_rank=23&RID=M8DGMS10016"",""XP_031829048.1"")"
PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Linepithema humile],Linepithema humile,213,213,99%,3e-64,70.90,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012217390.1?report=genbank&log$=prottop&blast_rank=24&RID=M8DGMS10016"",""XP_012217390.1"")"
Feline leukemia virus subgroup C receptor-related protein 2 [Dufourea novaeangliae],Dufourea novaeangliae,211,211,99%,2e-63,70.90,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZC13800.1?report=genbank&log$=prottop&blast_rank=25&RID=M8DGMS10016"",""KZC13800.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Cataglyphis hispanica],Cataglyphis hispanica,211,211,99%,2e-63,71.43,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050461912.1?report=genbank&log$=prottop&blast_rank=26&RID=M8DGMS10016"",""XP_050461912.1"")"
PREDICTED: feline leukemia virus subgroup C receptor-related protein 2-like [Dufourea novaeangliae],Dufourea novaeangliae,211,211,99%,3e-63,70.90,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015436512.1?report=genbank&log$=prottop&blast_rank=27&RID=M8DGMS10016"",""XP_015436512.1"")"
LOW QUALITY PROTEIN: feline leukemia virus subgroup C receptor-related protein 2-like [Pseudomyrmex gracilis],Pseudomyrmex gracilis,211,211,99%,3e-63,69.92,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020294533.1?report=genbank&log$=prottop&blast_rank=28&RID=M8DGMS10016"",""XP_020294533.1"")"
