Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
White clover mosaic virus total genomic mRNA,White clover mosaic virus,549,549,100%,1e-151,92.08,5846,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X16636.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8RD29V601R"",""X16636.1"")"
"White clover mosaic virus isolate TUR20SW polyprotein, 25 kDa triple gene block protein 1, 12 kDa triple gene block protein 2, and 7 kDa triple gene block protein 3 genes, complete cds; and coat protein gene, partial cds",White clover mosaic virus,540,540,100%,6e-149,91.56,5673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL472250.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8RD29V601R"",""OL472250.1"")"
"White clover mosaic virus genomic RNA, complete genome, strain: WClMV-RC",White clover mosaic virus,540,540,100%,6e-149,91.56,5843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB669182.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8RD29V601R"",""AB669182.1"")"
Potexvirus white clover mosaic virus (WC1MV) RNA genome,White clover mosaic virus,540,540,100%,6e-149,91.56,5845,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X06728.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8RD29V601R"",""X06728.1"")"
"White clover mosaic virus isolate Kreis Stormarn_18 RNA replication protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",White clover mosaic virus,539,539,100%,2e-148,91.29,5802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN399742.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8RD29V601R"",""MN399742.1"")"
"White clover mosaic virus strain Abbotsbury/A/2016 RNA replication protein, triple gene block protein 1, triple gene block protein 2, and triple gene block protein 3 genes, complete cds; and coat protein gene, partial cds",White clover mosaic virus,536,536,100%,7e-148,90.50,5776,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW588200.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8RD29V601R"",""MW588200.1"")"
"White clover mosaic virus genomic RNA, complete genome, strain: RC",White clover mosaic virus,535,535,100%,3e-147,91.29,5843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB056720.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8RD29V601R"",""AB056720.1"")"
"White clover mosaic virus genomic RNA, complete genome, strain: RC, isolate: Cheongdo-2",White clover mosaic virus,531,531,100%,3e-146,91.03,5843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC159490.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8RD29V601R"",""LC159490.1"")"
"White clover mosaic virus genomic RNA, complete genome, strain: RC, isolate: Cheongdo-1",White clover mosaic virus,531,531,100%,3e-146,91.03,5843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC159489.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8RD29V601R"",""LC159489.1"")"
"White clover mosaic virus isolate Salzlandkreis-2_16 RNA replication protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",White clover mosaic virus,529,529,100%,1e-145,90.50,5795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN399739.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8RD29V601R"",""MN399739.1"")"
"Galium odoratum potexvirus strain pt040-lat-5, complete genome",Galium odoratum potexvirus,526,526,100%,1e-144,90.77,5786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN814316.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8RD29V601R"",""MN814316.1"")"
"White clover mosaic virus isolate Muenster_18 RNA replication protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",White clover mosaic virus,526,526,100%,1e-144,90.77,5780,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN399740.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8RD29V601R"",""MN399740.1"")"
