Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1860,1860,48%,0.0,98.58,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23644.1?report=genbank&log$=prottop&blast_rank=1&RID=MB0VCBV1016"",""UGV23644.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1859,1859,48%,0.0,98.26,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94190.1?report=genbank&log$=prottop&blast_rank=2&RID=MB0VCBV1016"",""QKW94190.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1858,1858,48%,0.0,98.04,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZR93827.1?report=genbank&log$=prottop&blast_rank=3&RID=MB0VCBV1016"",""QZR93827.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1857,1857,48%,0.0,98.47,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65059.1?report=genbank&log$=prottop&blast_rank=4&RID=MB0VCBV1016"",""AYP65059.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1857,1857,48%,0.0,98.04,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIN93571.1?report=genbank&log$=prottop&blast_rank=5&RID=MB0VCBV1016"",""QIN93571.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1857,1857,48%,0.0,98.37,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=6&RID=MB0VCBV1016"",""UGV23652.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1857,1857,48%,0.0,98.58,1631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65061.1?report=genbank&log$=prottop&blast_rank=7&RID=MB0VCBV1016"",""AYP65061.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1855,1855,48%,0.0,98.15,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94192.1?report=genbank&log$=prottop&blast_rank=8&RID=MB0VCBV1016"",""QKW94192.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1855,1855,48%,0.0,98.37,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23640.1?report=genbank&log$=prottop&blast_rank=9&RID=MB0VCBV1016"",""UGV23640.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1854,1854,48%,0.0,98.26,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23648.1?report=genbank&log$=prottop&blast_rank=10&RID=MB0VCBV1016"",""UGV23648.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1853,1853,48%,0.0,98.04,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23646.1?report=genbank&log$=prottop&blast_rank=11&RID=MB0VCBV1016"",""UGV23646.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1853,1853,48%,0.0,98.26,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23654.1?report=genbank&log$=prottop&blast_rank=12&RID=MB0VCBV1016"",""UGV23654.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1853,1853,48%,0.0,98.15,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=13&RID=MB0VCBV1016"",""UGV23638.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1853,1853,48%,0.0,97.06,1642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APZ86805.1?report=genbank&log$=prottop&blast_rank=14&RID=MB0VCBV1016"",""APZ86805.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1853,1853,48%,0.0,98.15,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23636.1?report=genbank&log$=prottop&blast_rank=15&RID=MB0VCBV1016"",""UGV23636.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1851,1851,48%,0.0,98.04,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23642.1?report=genbank&log$=prottop&blast_rank=16&RID=MB0VCBV1016"",""UGV23642.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,1848,1848,48%,0.0,98.25,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23650.1?report=genbank&log$=prottop&blast_rank=17&RID=MB0VCBV1016"",""UGV23650.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,1839,1839,48%,0.0,97.28,1627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWK58137.1?report=genbank&log$=prottop&blast_rank=18&RID=MB0VCBV1016"",""AWK58137.1"")"
