Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
WD repeat-containing protein WRAP73 isoform X1 [Bombus terrestris],Bombus terrestris,876,876,98%,0.0,99.78,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012168144.1?report=genbank&log$=prottop&blast_rank=1&RID=E4MEUD9W013"",""XP_012168144.1"")"
WD repeat-containing protein WRAP73-like isoform X1 [Bombus affinis],Bombus affinis,875,875,98%,0.0,99.55,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050596641.1?report=genbank&log$=prottop&blast_rank=2&RID=E4MEUD9W013"",""XP_050596641.1"")"
WD repeat-containing protein WRAP73-like isoform X1 [Bombus impatiens],Bombus impatiens,867,867,98%,0.0,98.65,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012239397.1?report=genbank&log$=prottop&blast_rank=3&RID=E4MEUD9W013"",""XP_012239397.1"")"
WD repeat-containing protein WRAP73-like [Bombus pyrosoma],Bombus pyrosoma,866,866,98%,0.0,98.43,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043592793.1?report=genbank&log$=prottop&blast_rank=4&RID=E4MEUD9W013"",""XP_043592793.1"")"
WD repeat-containing protein WRAP73-like isoform X1 [Bombus vosnesenskii],Bombus vosnesenskii,866,866,98%,0.0,98.43,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033349998.1?report=genbank&log$=prottop&blast_rank=5&RID=E4MEUD9W013"",""XP_033349998.1"")"
WD repeat-containing protein WRAP73-like isoform X1 [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,865,865,98%,0.0,98.43,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033193139.1?report=genbank&log$=prottop&blast_rank=6&RID=E4MEUD9W013"",""XP_033193139.1"")"
WD repeat-containing protein WRAP73-like [Frieseomelitta varia],Frieseomelitta varia,779,779,98%,0.0,86.77,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043513488.1?report=genbank&log$=prottop&blast_rank=7&RID=E4MEUD9W013"",""XP_043513488.1"")"
hypothetical protein E2986_13246 [Frieseomelitta varia],Frieseomelitta varia,747,747,98%,0.0,81.62,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3426059.1?report=genbank&log$=prottop&blast_rank=8&RID=E4MEUD9W013"",""KAF3426059.1"")"
WD repeat-containing protein WRAP73-like isoform X1 [Apis dorsata],Apis dorsata,739,739,98%,0.0,83.86,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006612470.1?report=genbank&log$=prottop&blast_rank=9&RID=E4MEUD9W013"",""XP_006612470.1"")"
WD repeat-containing protein WRAP73 [Apis cerana],Apis cerana,734,734,98%,0.0,83.63,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016904679.2?report=genbank&log$=prottop&blast_rank=10&RID=E4MEUD9W013"",""XP_016904679.2"")"
