Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Megachile willughbiella genome assembly, chromosome: 3",Megachile willughbiella,348,348,75%,5e-91,95.81,22388093,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX243796.1?report=genbank&log$=nucltop&blast_rank=1&RID=KSXUHUZ701R"",""OX243796.1"")"
"Megachile ligniseca genome assembly, chromosome: 2",Megachile ligniseca,297,297,75%,8e-76,90.70,18673841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX243778.1?report=genbank&log$=nucltop&blast_rank=2&RID=KSXUHUZ701R"",""OX243778.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000002464",Cyprinus carpio,108,108,21%,8e-19,98.39,116884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN594859.1?report=genbank&log$=nucltop&blast_rank=3&RID=KSXUHUZ701R"",""LN594859.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000001592",Cyprinus carpio,107,107,24%,8e-19,94.20,436826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN593384.1?report=genbank&log$=nucltop&blast_rank=4&RID=KSXUHUZ701R"",""LN593384.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000002927",Cyprinus carpio,107,107,20%,8e-19,100.00,132736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN591675.1?report=genbank&log$=nucltop&blast_rank=5&RID=KSXUHUZ701R"",""LN591675.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG35, chromosome: 35",Cyprinus carpio,107,711,20%,8e-19,100.00,29126390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590686.1?report=genbank&log$=nucltop&blast_rank=6&RID=KSXUHUZ701R"",""LN590686.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000001040",Cyprinus carpio,106,106,21%,3e-18,98.36,762453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590987.1?report=genbank&log$=nucltop&blast_rank=7&RID=KSXUHUZ701R"",""LN590987.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG47, chromosome: 47",Cyprinus carpio,106,558,23%,3e-18,95.45,16759857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590681.1?report=genbank&log$=nucltop&blast_rank=8&RID=KSXUHUZ701R"",""LN590681.1"")"
"Plasmodium vivax genome assembly, chromosome: 12",Plasmodium vivax,105,105,20%,3e-18,100.00,3182763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT635623.1?report=genbank&log$=nucltop&blast_rank=9&RID=KSXUHUZ701R"",""LT635623.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000003052",Cyprinus carpio,105,105,20%,3e-18,100.00,153528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN594651.1?report=genbank&log$=nucltop&blast_rank=10&RID=KSXUHUZ701R"",""LN594651.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000000834",Cyprinus carpio,105,105,20%,3e-18,100.00,719262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590930.1?report=genbank&log$=nucltop&blast_rank=11&RID=KSXUHUZ701R"",""LN590930.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG12, chromosome: 12",Cyprinus carpio,105,207,20%,3e-18,100.00,12725232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590717.1?report=genbank&log$=nucltop&blast_rank=12&RID=KSXUHUZ701R"",""LN590717.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG3, chromosome: 3",Cyprinus carpio,105,412,20%,3e-18,100.00,20567433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590693.1?report=genbank&log$=nucltop&blast_rank=13&RID=KSXUHUZ701R"",""LN590693.1"")"
Danio rerio,Danio rerio,104,104,21%,1e-17,96.77,5409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX241174.1?report=genbank&log$=nucltop&blast_rank=14&RID=KSXUHUZ701R"",""OX241174.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000002276",Cyprinus carpio,104,104,19%,1e-17,100.00,341394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN600047.1?report=genbank&log$=nucltop&blast_rank=15&RID=KSXUHUZ701R"",""LN600047.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000000045",Cyprinus carpio,104,104,19%,1e-17,100.00,947182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN598550.1?report=genbank&log$=nucltop&blast_rank=16&RID=KSXUHUZ701R"",""LN598550.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000001567",Cyprinus carpio,104,104,19%,1e-17,100.00,1073906,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN598209.1?report=genbank&log$=nucltop&blast_rank=17&RID=KSXUHUZ701R"",""LN598209.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000001762",Cyprinus carpio,104,104,19%,1e-17,100.00,114076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN596274.1?report=genbank&log$=nucltop&blast_rank=18&RID=KSXUHUZ701R"",""LN596274.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000001653",Cyprinus carpio,104,104,19%,1e-17,100.00,77419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN592703.1?report=genbank&log$=nucltop&blast_rank=19&RID=KSXUHUZ701R"",""LN592703.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000028846",Cyprinus carpio,104,104,19%,1e-17,100.00,886882,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN591136.1?report=genbank&log$=nucltop&blast_rank=20&RID=KSXUHUZ701R"",""LN591136.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000000192",Cyprinus carpio,104,204,19%,1e-17,100.00,541012,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590769.1?report=genbank&log$=nucltop&blast_rank=21&RID=KSXUHUZ701R"",""LN590769.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG20, chromosome: 20",Cyprinus carpio,104,299,19%,1e-17,100.00,16766033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590713.1?report=genbank&log$=nucltop&blast_rank=22&RID=KSXUHUZ701R"",""LN590713.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG5, chromosome: 5",Cyprinus carpio,104,204,19%,1e-17,100.00,20922272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590709.1?report=genbank&log$=nucltop&blast_rank=23&RID=KSXUHUZ701R"",""LN590709.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG30, chromosome: 30",Cyprinus carpio,104,306,19%,1e-17,100.00,18521859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590707.1?report=genbank&log$=nucltop&blast_rank=24&RID=KSXUHUZ701R"",""LN590707.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG32, chromosome: 32",Cyprinus carpio,104,505,20%,1e-17,100.00,26100072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590696.1?report=genbank&log$=nucltop&blast_rank=25&RID=KSXUHUZ701R"",""LN590696.1"")"
