name	len	score	pvalue
TRINITY_DN51_c0_g1_i1 len=842 path=[0:0-128 2:129-841]	842	0.5371276140213013	0.11604169410525128
TRINITY_DN51_c0_g1_i2 len=947 path=[1:0-233 2:234-946]	947	0.06615804135799408	0.4643643342301831
TRINITY_DN33_c0_g1_i2 len=2641 path=[0:0-1440 1:1441-1497 2:1498-2640]	2641	0.17395876348018646	0.15573306140947202
TRINITY_DN33_c0_g1_i1 len=2584 path=[0:0-1440 2:1441-2583]	2584	0.27808332443237305	0.12521716141702546
TRINITY_DN66_c0_g1_i1 len=445 path=[0:0-444]	445	0.7179113626480103	0.06038914190377418
TRINITY_DN52_c0_g1_i1 len=516 path=[0:0-515]	516	0.9174196720123291	0.026679711753748895
TRINITY_DN44_c0_g1_i1 len=369 path=[0:0-368]	369	0.6289734840393066	0.08343103215042612
TRINITY_DN44_c0_g2_i1 len=1806 path=[0:0-1805]	1806	0.12632690370082855	0.1754853085580482
TRINITY_DN61_c0_g1_i2 len=1382 path=[0:0-115 2:116-1381]	1382	0.9191379547119141	0.016409849686532217
TRINITY_DN61_c0_g1_i1 len=1505 path=[0:0-115 1:116-238 2:239-1504]	1505	0.6951762437820435	0.033442858221920085
TRINITY_DN55_c0_g1_i3 len=3131 path=[0:0-1295 2:1296-1358 3:1359-1423 4:1424-2864 5:2865-2970 6:2971-3130]	3131	0.7398185729980469	0.02991162474507138
TRINITY_DN55_c0_g1_i1 len=3025 path=[0:0-1295 2:1296-1358 3:1359-1423 4:1424-2864 6:2865-3024]	3025	0.717664361000061	0.03155449807387265
TRINITY_DN55_c0_g1_i5 len=1859 path=[1:0-151 4:152-1592 5:1593-1698 6:1699-1858]	1859	0.8080353736877441	0.024680867134979984
TRINITY_DN55_c0_g1_i4 len=3068 path=[0:0-1295 3:1296-1360 4:1361-2801 5:2802-2907 6:2908-3067]	3068	0.7120749950408936	0.03212100611828688
TRINITY_DN55_c0_g1_i6 len=2962 path=[0:0-1295 3:1296-1360 4:1361-2801 6:2802-2961]	2962	0.6716642379760742	0.03544451997885037
TRINITY_DN55_c0_g2_i1 len=2225 path=[0:0-2224]	2225	0.0007633428904227912	0.5272490369363245
TRINITY_DN88_c0_g1_i4 len=2080 path=[0:0-732 1:733-734 2:735-735 4:736-969 7:970-2079]	2080	0.5547261238098145	0.047718860941158694
TRINITY_DN88_c0_g1_i1 len=2077 path=[0:0-732 1:733-734 6:735-966 7:967-2076]	2077	0.1700233519077301	0.15724374952790995
TRINITY_DN88_c0_g1_i2 len=1843 path=[0:0-732 7:733-1842]	1843	0.22346216440200806	0.1394553969333031
TRINITY_DN88_c0_g1_i3 len=2517 path=[0:0-732 1:733-734 2:735-735 3:736-938 4:939-1172 5:1173-1174 6:1175-1406 7:1407-2516]	2517	0.7192620038986206	0.03149784726943122
TRINITY_DN38_c0_g1_i1 len=766 path=[0:0-765]	766	0.7875595092773438	0.051092212459312496
TRINITY_DN73_c0_g1_i1 len=1442 path=[0:0-78 1:79-111 2:112-1441]	1442	0.9794411659240723	0.009347382732834806
TRINITY_DN73_c0_g1_i2 len=1409 path=[0:0-78 2:79-1408]	1409	0.988048791885376	0.007855578215877332
TRINITY_DN42_c0_g1_i1 len=1094 path=[0:0-358 2:359-1093]	1094	0.173786923289299	0.15578971221391344
TRINITY_DN42_c0_g1_i2 len=1477 path=[0:0-358 1:359-741 2:742-1476]	1477	0.04688774421811104	0.23874537351763728
TRINITY_DN2_c0_g1_i1 len=707 path=[0:0-706]	707	0.28212204575538635	0.2624696607650191
TRINITY_DN2_c0_g2_i4 len=3783 path=[1:0-3100 2:3101-3310 4:3311-3782]	3783	0.22932271659374237	0.13773698919857996
TRINITY_DN2_c0_g2_i1 len=893 path=[0:0-210 2:211-420 4:421-892]	893	0.4864808917045593	0.14809309676569643
TRINITY_DN2_c0_g2_i2 len=790 path=[0:0-210 2:211-420 3:421-789]	790	0.8264592885971069	0.04359442322527235
TRINITY_DN2_c0_g2_i3 len=3680 path=[1:0-3100 2:3101-3310 3:3311-3679]	3680	0.37808817625045776	0.10187702998715915
TRINITY_DN37_c0_g1_i2 len=1045 path=[0:0-193 2:194-619 4:620-1044]	1045	0.008065183646976948	0.3591283329556613
TRINITY_DN37_c0_g1_i3 len=1094 path=[0:0-193 1:194-242 2:243-668 4:669-1093]	1094	0.04715031012892723	0.23827328348062543
TRINITY_DN37_c0_g1_i1 len=708 path=[0:0-193 2:194-619 3:620-707]	708	0.2108120322227478	0.308124329714576
TRINITY_DN5_c0_g1_i3 len=1650 path=[1:0-209 2:210-1284 3:1285-1357 4:1358-1649]	1650	0.10239919275045395	0.18823173955736838
TRINITY_DN5_c0_g1_i4 len=1445 path=[0:0-77 2:78-1152 4:1153-1444]	1445	0.0433427095413208	0.24414608354105294
TRINITY_DN5_c0_g1_i1 len=1518 path=[0:0-77 2:78-1152 3:1153-1225 4:1226-1517]	1518	0.0807984322309494	0.2030175995165798
TRINITY_DN5_c0_g1_i2 len=1577 path=[1:0-209 2:210-1284 4:1285-1576]	1577	0.04859229922294617	0.23646045773849989
TRINITY_DN63_c0_g2_i7 len=1622 path=[3:0-919 5:920-991 7:992-1151 10:1152-1307 12:1308-1309 15:1310-1621]	1622	0.14398504793643951	0.16734647631996374
TRINITY_DN63_c0_g2_i8 len=1245 path=[3:0-919 5:920-991 7:992-1151 9:1152-1242 12:1243-1244]	1245	0.28649502992630005	0.12300778004380995
TRINITY_DN63_c0_g2_i2 len=2087 path=[0:0-262 2:263-689 3:690-1609 5:1610-1681 9:1682-1772 12:1773-1774 15:1775-2086]	2087	0.3983098864555359	0.09708059521111867
TRINITY_DN63_c0_g2_i5 len=1894 path=[0:0-262 2:263-689 3:690-1609 5:1610-1681 9:1682-1772 12:1773-1774 14:1775-1893]	1894	0.48232340812683105	0.07304177052647481
TRINITY_DN63_c0_g2_i9 len=2296 path=[0:0-262 2:263-689 3:690-1609 4:1610-1680 8:1681-1681 11:1682-1725 13:1726-1814 16:1815-2295]	2296	0.43033838272094727	0.08890399577007327
TRINITY_DN63_c0_g2_i1 len=1900 path=[0:0-262 1:263-695 3:696-1615 5:1616-1687 9:1688-1778 12:1779-1780 14:1781-1899]	1900	0.20762386918067932	0.14459173653599214
TRINITY_DN63_c0_g2_i4 len=2252 path=[0:0-262 2:263-689 3:690-1609 4:1610-1680 8:1681-1681 13:1682-1770 16:1771-2251]	2252	0.4136489927768707	0.09311503890021905
