Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"coat protein [nepovirus arabis mosaic virus ArMV, Peptide, 505 aa] [Arabis mosaic virus]",Arabis mosaic virus,296,296,93%,8e-96,95.83,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB22202.1?report=genbank&log$=prottop&blast_rank=1&RID=M8CAG56X016"",""AAB22202.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,296,296,93%,9e-96,95.83,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUF98522.1?report=genbank&log$=prottop&blast_rank=2&RID=M8CAG56X016"",""QUF98522.1"")"
RecName: Full=RNA2 polyprotein; AltName: Full=P2; Contains: RecName: Full=Movement protein; AltName: Full=2B-MP; Contains: RecName: Full=Coat protein; AltName: Full=2C-CP [Arabis mosaic virus],Arabis mosaic virus,296,296,93%,1e-95,95.83,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P24819.1?report=genbank&log$=prottop&blast_rank=3&RID=M8CAG56X016"",""P24819.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,1e-95,97.22,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82837.1?report=genbank&log$=prottop&blast_rank=4&RID=M8CAG56X016"",""AHY82837.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,2e-95,96.53,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82834.1?report=genbank&log$=prottop&blast_rank=5&RID=M8CAG56X016"",""AHY82834.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,2e-95,96.53,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82853.1?report=genbank&log$=prottop&blast_rank=6&RID=M8CAG56X016"",""AHY82853.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,2e-95,95.83,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82851.1?report=genbank&log$=prottop&blast_rank=7&RID=M8CAG56X016"",""AHY82851.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,2e-95,96.53,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82838.1?report=genbank&log$=prottop&blast_rank=8&RID=M8CAG56X016"",""AHY82838.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,2e-95,96.53,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82835.1?report=genbank&log$=prottop&blast_rank=9&RID=M8CAG56X016"",""AHY82835.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,294,294,93%,4e-95,94.44,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82839.1?report=genbank&log$=prottop&blast_rank=10&RID=M8CAG56X016"",""AHY82839.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,294,294,93%,4e-95,95.83,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AXN70693.2?report=genbank&log$=prottop&blast_rank=11&RID=M8CAG56X016"",""AXN70693.2"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,295,295,93%,4e-95,96.53,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AND74059.1?report=genbank&log$=prottop&blast_rank=12&RID=M8CAG56X016"",""AND74059.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,294,294,93%,5e-95,94.44,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82852.1?report=genbank&log$=prottop&blast_rank=13&RID=M8CAG56X016"",""AHY82852.1"")"
coat protein [Arabis mosaic virus],Arabis mosaic virus,294,294,93%,6e-95,95.14,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY82841.1?report=genbank&log$=prottop&blast_rank=14&RID=M8CAG56X016"",""AHY82841.1"")"
