Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00562.1?report=genbank&log$=prottop&blast_rank=1&RID=KR9MYVX8013"",""UCJ00562.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00561.1?report=genbank&log$=prottop&blast_rank=2&RID=KR9MYVX8013"",""UCJ00561.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_611154.1?report=genbank&log$=prottop&blast_rank=3&RID=KR9MYVX8013"",""YP_611154.1"")"
replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANE06567.1?report=genbank&log$=prottop&blast_rank=4&RID=KR9MYVX8013"",""ANE06567.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00556.1?report=genbank&log$=prottop&blast_rank=5&RID=KR9MYVX8013"",""UCJ00556.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00558.1?report=genbank&log$=prottop&blast_rank=6&RID=KR9MYVX8013"",""UCJ00558.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00565.1?report=genbank&log$=prottop&blast_rank=7&RID=KR9MYVX8013"",""UCJ00565.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00568.1?report=genbank&log$=prottop&blast_rank=8&RID=KR9MYVX8013"",""UCJ00568.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00557.1?report=genbank&log$=prottop&blast_rank=9&RID=KR9MYVX8013"",""UCJ00557.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00563.1?report=genbank&log$=prottop&blast_rank=10&RID=KR9MYVX8013"",""UCJ00563.1"")"
putative viral replicase [Prune dwarf virus],Prune dwarf virus,97.4,97.4,100%,2e-21,62.86,1055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCJ00549.1?report=genbank&log$=prottop&blast_rank=11&RID=KR9MYVX8013"",""UCJ00549.1"")"
