Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
xenotropic and polytropic retrovirus receptor 1-like isoform X4 [Frieseomelitta varia],Frieseomelitta varia,1194,1194,71%,0.0,100.00,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043512882.1?report=genbank&log$=prottop&blast_rank=1&RID=E9BUR0BA013"",""XP_043512882.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Frieseomelitta varia],Frieseomelitta varia,1193,1392,83%,0.0,100.00,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043512878.1?report=genbank&log$=prottop&blast_rank=2&RID=E9BUR0BA013"",""XP_043512878.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Frieseomelitta varia],Frieseomelitta varia,1189,1387,83%,0.0,100.00,649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043512880.1?report=genbank&log$=prottop&blast_rank=3&RID=E9BUR0BA013"",""XP_043512880.1"")"
hypothetical protein K0M31_010357 [Melipona bicolor],Melipona bicolor,1180,1378,86%,0.0,98.81,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1121560.1?report=genbank&log$=prottop&blast_rank=4&RID=E9BUR0BA013"",""KAK1121560.1"")"
hypothetical protein K0M31_010357 [Melipona bicolor],Melipona bicolor,1179,1179,71%,0.0,98.81,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1121561.1?report=genbank&log$=prottop&blast_rank=5&RID=E9BUR0BA013"",""KAK1121561.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Apis mellifera],Apis mellifera,1175,1369,83%,0.0,97.78,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016773009.2?report=genbank&log$=prottop&blast_rank=6&RID=E9BUR0BA013"",""XP_016773009.2"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Apis mellifera],Apis mellifera,1174,1174,71%,0.0,97.78,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026299553.1?report=genbank&log$=prottop&blast_rank=7&RID=E9BUR0BA013"",""XP_026299553.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like isoform X8 [Megachile rotundata],Megachile rotundata,1174,1174,71%,0.0,97.44,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012153083.1?report=genbank&log$=prottop&blast_rank=8&RID=E9BUR0BA013"",""XP_012153083.1"")"
Xenotropic and polytropic retrovirus receptor [Apis cerana cerana],Apis cerana cerana,1173,1367,83%,0.0,97.27,1084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBC25345.1?report=genbank&log$=prottop&blast_rank=9&RID=E9BUR0BA013"",""PBC25345.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Megachile rotundata],Megachile rotundata,1173,1364,86%,0.0,97.44,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003708490.1?report=genbank&log$=prottop&blast_rank=10&RID=E9BUR0BA013"",""XP_003708490.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X5 [Apis cerana],Apis cerana,1172,1172,71%,0.0,97.27,589,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917665.1?report=genbank&log$=prottop&blast_rank=11&RID=E9BUR0BA013"",""XP_016917665.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X6 [Apis cerana],Apis cerana,1172,1172,71%,0.0,97.27,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917666.1?report=genbank&log$=prottop&blast_rank=12&RID=E9BUR0BA013"",""XP_016917666.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like isoform X7 [Megachile rotundata],Megachile rotundata,1172,1172,71%,0.0,97.44,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012153082.1?report=genbank&log$=prottop&blast_rank=13&RID=E9BUR0BA013"",""XP_012153082.1"")"
LOW QUALITY PROTEIN: xenotropic and polytropic retrovirus receptor 1 [Apis florea],Apis florea,1171,1367,83%,0.0,97.44,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003693749.1?report=genbank&log$=prottop&blast_rank=14&RID=E9BUR0BA013"",""XP_003693749.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X4 [Apis cerana],Apis cerana,1171,1171,71%,0.0,97.27,595,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917663.1?report=genbank&log$=prottop&blast_rank=15&RID=E9BUR0BA013"",""XP_016917663.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X4 [Apis laboriosa],Apis laboriosa,1171,1171,71%,0.0,97.27,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801433.1?report=genbank&log$=prottop&blast_rank=16&RID=E9BUR0BA013"",""XP_043801433.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X1 [Apis cerana],Apis cerana,1170,1361,83%,0.0,97.27,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917659.1?report=genbank&log$=prottop&blast_rank=17&RID=E9BUR0BA013"",""XP_016917659.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Megachile rotundata],Megachile rotundata,1170,1317,85%,0.0,97.44,651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012153076.1?report=genbank&log$=prottop&blast_rank=18&RID=E9BUR0BA013"",""XP_012153076.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X3 [Apis cerana],Apis cerana,1170,1170,71%,0.0,97.27,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917662.1?report=genbank&log$=prottop&blast_rank=19&RID=E9BUR0BA013"",""XP_016917662.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Apis laboriosa],Apis laboriosa,1170,1170,71%,0.0,97.27,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801432.1?report=genbank&log$=prottop&blast_rank=20&RID=E9BUR0BA013"",""XP_043801432.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Bombus pyrosoma],Bombus pyrosoma,1169,1169,71%,0.0,97.27,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043586862.1?report=genbank&log$=prottop&blast_rank=21&RID=E9BUR0BA013"",""XP_043586862.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Bombus pyrosoma],Bombus pyrosoma,1169,1357,83%,0.0,97.27,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043586860.1?report=genbank&log$=prottop&blast_rank=22&RID=E9BUR0BA013"",""XP_043586860.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X2 [Apis cerana],Apis cerana,1169,1338,85%,0.0,97.27,651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028524192.1?report=genbank&log$=prottop&blast_rank=23&RID=E9BUR0BA013"",""XP_028524192.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Apis laboriosa],Apis laboriosa,1168,1359,83%,0.0,97.27,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801430.1?report=genbank&log$=prottop&blast_rank=24&RID=E9BUR0BA013"",""XP_043801430.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Apis laboriosa],Apis laboriosa,1167,1167,71%,0.0,97.27,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801431.1?report=genbank&log$=prottop&blast_rank=25&RID=E9BUR0BA013"",""XP_043801431.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Apis dorsata],Apis dorsata,1166,1166,71%,0.0,96.93,589,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031370330.1?report=genbank&log$=prottop&blast_rank=26&RID=E9BUR0BA013"",""XP_031370330.1"")"
xenotropic and polytropic retrovirus receptor 1 [Bombus impatiens],Bombus impatiens,1166,1355,83%,0.0,97.10,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003488456.1?report=genbank&log$=prottop&blast_rank=27&RID=E9BUR0BA013"",""XP_003488456.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Apis dorsata],Apis dorsata,1165,1165,71%,0.0,96.93,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006624307.1?report=genbank&log$=prottop&blast_rank=28&RID=E9BUR0BA013"",""XP_006624307.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Bombus vosnesenskii],Bombus vosnesenskii,1165,1354,83%,0.0,96.93,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033364304.1?report=genbank&log$=prottop&blast_rank=29&RID=E9BUR0BA013"",""XP_033364304.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Apis dorsata],Apis dorsata,1164,1356,83%,0.0,96.93,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006624306.1?report=genbank&log$=prottop&blast_rank=30&RID=E9BUR0BA013"",""XP_006624306.1"")"
xenotropic and polytropic retrovirus receptor 1 [Bombus terrestris],Bombus terrestris,1164,1355,83%,0.0,96.93,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003396567.1?report=genbank&log$=prottop&blast_rank=31&RID=E9BUR0BA013"",""XP_003396567.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X4 [Apis dorsata],Apis dorsata,1164,1164,71%,0.0,96.93,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031370331.1?report=genbank&log$=prottop&blast_rank=32&RID=E9BUR0BA013"",""XP_031370331.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Bombus affinis],Bombus affinis,1163,1353,83%,0.0,96.76,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050583035.1?report=genbank&log$=prottop&blast_rank=33&RID=E9BUR0BA013"",""XP_050583035.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Hylaeus anthracinus],Hylaeus anthracinus,1159,1159,74%,0.0,93.30,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_054012164.1?report=genbank&log$=prottop&blast_rank=34&RID=E9BUR0BA013"",""XP_054012164.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Hylaeus volcanicus],Hylaeus volcanicus,1159,1159,74%,0.0,93.30,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053971285.1?report=genbank&log$=prottop&blast_rank=35&RID=E9BUR0BA013"",""XP_053971285.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Dufourea novaeangliae],Dufourea novaeangliae,1158,1295,83%,0.0,95.73,988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015436168.1?report=genbank&log$=prottop&blast_rank=36&RID=E9BUR0BA013"",""XP_015436168.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Osmia lignaria],Osmia lignaria,1158,1349,85%,0.0,95.91,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034177825.1?report=genbank&log$=prottop&blast_rank=37&RID=E9BUR0BA013"",""XP_034177825.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Osmia lignaria],Osmia lignaria,1158,1158,71%,0.0,95.92,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034177853.1?report=genbank&log$=prottop&blast_rank=38&RID=E9BUR0BA013"",""XP_034177853.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Osmia bicornis bicornis],Osmia bicornis bicornis,1157,1157,71%,0.0,95.75,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029032388.1?report=genbank&log$=prottop&blast_rank=39&RID=E9BUR0BA013"",""XP_029032388.1"")"
