Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2092,2092,66%,0.0,98.46,1101,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2090,2090,66%,0.0,98.46,1101,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2090,2090,66%,0.0,98.55,1101,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2090,2090,66%,0.0,98.55,1101,Erro:501
polyprotein 2 [Tobacco ringspot virus],Tobacco ringspot virus,2083,2083,66%,0.0,98.09,1101,Erro:501
polyprotein 2 [Tobacco ringspot virus],Tobacco ringspot virus,2069,2069,66%,0.0,96.46,1099,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2069,2069,66%,0.0,97.64,1101,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2063,2063,66%,0.0,97.10,1102,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2060,2060,66%,0.0,97.10,1102,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2058,2058,66%,0.0,95.92,1100,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2055,2055,66%,0.0,95.55,1099,Erro:501
structural polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2051,2051,66%,0.0,97.55,1101,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2043,2043,66%,0.0,95.92,1102,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2041,2041,66%,0.0,95.74,1102,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2039,2039,66%,0.0,95.64,1102,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2037,2037,66%,0.0,95.55,1102,Erro:501
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2034,2034,66%,0.0,95.46,1102,Erro:501
