Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
xenotropic and polytropic retrovirus receptor 1 [Nomia melanderi],Nomia melanderi,293,293,87%,2e-92,95.30,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031831836.1?report=genbank&log$=prottop&blast_rank=1&RID=M894CS5A016"",""XP_031831836.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X2 [Apis laboriosa],Apis laboriosa,286,286,87%,9e-91,93.38,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043784667.1?report=genbank&log$=prottop&blast_rank=2&RID=M894CS5A016"",""XP_043784667.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus impatiens],Bombus impatiens,287,287,87%,2e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003487671.1?report=genbank&log$=prottop&blast_rank=3&RID=M894CS5A016"",""XP_003487671.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus terrestris],Bombus terrestris,287,287,87%,2e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003396484.1?report=genbank&log$=prottop&blast_rank=4&RID=M894CS5A016"",""XP_003396484.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,287,287,87%,2e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033197276.1?report=genbank&log$=prottop&blast_rank=5&RID=M894CS5A016"",""XP_033197276.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Frieseomelitta varia],Frieseomelitta varia,287,287,87%,2e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043528325.1?report=genbank&log$=prottop&blast_rank=6&RID=M894CS5A016"",""XP_043528325.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus pyrosoma],Bombus pyrosoma,287,287,87%,3e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043585064.1?report=genbank&log$=prottop&blast_rank=7&RID=M894CS5A016"",""XP_043585064.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Osmia bicornis bicornis],Osmia bicornis bicornis,286,286,87%,5e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029032635.1?report=genbank&log$=prottop&blast_rank=8&RID=M894CS5A016"",""XP_029032635.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Megachile rotundata],Megachile rotundata,286,286,87%,5e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003705565.1?report=genbank&log$=prottop&blast_rank=9&RID=M894CS5A016"",""XP_003705565.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Osmia lignaria],Osmia lignaria,286,286,87%,6e-90,92.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034193167.1?report=genbank&log$=prottop&blast_rank=10&RID=M894CS5A016"",""XP_034193167.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X1 [Apis laboriosa],Apis laboriosa,286,286,87%,7e-90,93.38,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043784666.1?report=genbank&log$=prottop&blast_rank=11&RID=M894CS5A016"",""XP_043784666.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis florea],Apis florea,285,285,87%,1e-89,93.38,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003691078.1?report=genbank&log$=prottop&blast_rank=12&RID=M894CS5A016"",""XP_003691078.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis cerana],Apis cerana,285,285,87%,1e-89,93.38,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016913404.1?report=genbank&log$=prottop&blast_rank=13&RID=M894CS5A016"",""XP_016913404.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis dorsata],Apis dorsata,285,285,87%,1e-89,93.38,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006613614.1?report=genbank&log$=prottop&blast_rank=14&RID=M894CS5A016"",""XP_006613614.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Eufriesea mexicana],Eufriesea mexicana,285,285,87%,2e-89,93.38,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017759087.1?report=genbank&log$=prottop&blast_rank=15&RID=M894CS5A016"",""XP_017759087.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Habropoda laboriosa],Habropoda laboriosa,283,283,87%,4e-89,91.39,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017790327.1?report=genbank&log$=prottop&blast_rank=16&RID=M894CS5A016"",""XP_017790327.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Formica exsecta],Formica exsecta,266,266,87%,3e-88,86.75,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029666792.1?report=genbank&log$=prottop&blast_rank=17&RID=M894CS5A016"",""XP_029666792.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Formica exsecta],Formica exsecta,267,267,87%,3e-88,86.75,203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029677328.1?report=genbank&log$=prottop&blast_rank=18&RID=M894CS5A016"",""XP_029677328.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Formica exsecta],Formica exsecta,266,266,87%,4e-88,86.75,197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029669680.1?report=genbank&log$=prottop&blast_rank=19&RID=M894CS5A016"",""XP_029669680.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Colletes gigas],Colletes gigas,281,281,87%,7e-88,92.05,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043261464.1?report=genbank&log$=prottop&blast_rank=20&RID=M894CS5A016"",""XP_043261464.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Formica exsecta],Formica exsecta,266,266,87%,8e-88,86.75,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029679314.1?report=genbank&log$=prottop&blast_rank=21&RID=M894CS5A016"",""XP_029679314.1"")"
hypothetical protein KM043_018697 [Ampulex compressa],Ampulex compressa,276,276,87%,4e-86,88.08,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7202378.1?report=genbank&log$=prottop&blast_rank=22&RID=M894CS5A016"",""KAG7202378.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Dufourea novaeangliae],Dufourea novaeangliae,276,276,87%,6e-86,90.07,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015437089.1?report=genbank&log$=prottop&blast_rank=23&RID=M894CS5A016"",""XP_015437089.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Ceratina calcarata],Ceratina calcarata,275,275,87%,9e-86,88.08,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017887624.1?report=genbank&log$=prottop&blast_rank=24&RID=M894CS5A016"",""XP_017887624.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Ooceraea biroi],Ooceraea biroi,275,275,87%,1e-85,88.08,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026827993.1?report=genbank&log$=prottop&blast_rank=25&RID=M894CS5A016"",""XP_026827993.1"")"
hypothetical protein HN011_007533 [Eciton burchellii],Eciton burchellii,272,272,87%,1e-84,87.42,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0949222.1?report=genbank&log$=prottop&blast_rank=26&RID=M894CS5A016"",""KAH0949222.1"")"
hypothetical protein E2986_08461 [Frieseomelitta varia],Frieseomelitta varia,272,272,87%,2e-84,89.40,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3429405.1?report=genbank&log$=prottop&blast_rank=27&RID=M894CS5A016"",""KAF3429405.1"")"
xenotropic and polytropic retrovirus receptor 1 [Monomorium pharaonis],Monomorium pharaonis,271,271,87%,3e-84,87.42,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012541204.1?report=genbank&log$=prottop&blast_rank=28&RID=M894CS5A016"",""XP_012541204.1"")"
unnamed protein product [Heterotrigona itama],Heterotrigona itama,269,269,87%,2e-83,89.40,640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD1475860.1?report=genbank&log$=prottop&blast_rank=29&RID=M894CS5A016"",""CAD1475860.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Atta colombica],Atta colombica,268,268,87%,4e-83,84.77,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018046481.1?report=genbank&log$=prottop&blast_rank=30&RID=M894CS5A016"",""XP_018046481.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 [Atta cephalotes],Atta cephalotes,268,268,87%,4e-83,84.77,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012056240.1?report=genbank&log$=prottop&blast_rank=31&RID=M894CS5A016"",""XP_012056240.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Trachymyrmex cornetzi],Trachymyrmex cornetzi,268,268,87%,4e-83,85.43,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018360931.1?report=genbank&log$=prottop&blast_rank=32&RID=M894CS5A016"",""XP_018360931.1"")"
xenotropic and polytropic retrovirus receptor 1 [Formica exsecta],Formica exsecta,268,268,87%,4e-83,86.75,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029658750.1?report=genbank&log$=prottop&blast_rank=33&RID=M894CS5A016"",""XP_029658750.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Trachymyrmex zeteki],Trachymyrmex zeteki,268,268,87%,4e-83,85.43,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018316968.1?report=genbank&log$=prottop&blast_rank=34&RID=M894CS5A016"",""XP_018316968.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Trachymyrmex septentrionalis],Trachymyrmex septentrionalis,268,268,87%,6e-83,84.77,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018338529.1?report=genbank&log$=prottop&blast_rank=35&RID=M894CS5A016"",""XP_018338529.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X2 [Venturia canescens],Venturia canescens,265,265,87%,7e-83,84.11,577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043285941.1?report=genbank&log$=prottop&blast_rank=36&RID=M894CS5A016"",""XP_043285941.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Chelonus insularis],Chelonus insularis,268,268,87%,8e-83,84.77,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034941909.1?report=genbank&log$=prottop&blast_rank=37&RID=M894CS5A016"",""XP_034941909.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X1 [Venturia canescens],Venturia canescens,266,266,87%,2e-82,84.11,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043285940.1?report=genbank&log$=prottop&blast_rank=38&RID=M894CS5A016"",""XP_043285940.1"")"
