Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
integrase core domain-containing protein [Bordetella holmesii],Bordetella holmesii,48.9,48.9,27%,6e-05,88.46,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_235202117.1?report=genbank&log$=prottop&blast_rank=1&RID=KW0TW9ZX016"",""WP_235202117.1"")"
hypothetical protein [Burkholderia diffusa],Burkholderia diffusa,48.1,48.1,43%,7e-05,54.35,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_223962195.1?report=genbank&log$=prottop&blast_rank=2&RID=KW0TW9ZX016"",""WP_223962195.1"")"
hypothetical protein [Shewanella decolorationis],Shewanella decolorationis,45.1,45.1,40%,0.002,50.00,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023265508.1?report=genbank&log$=prottop&blast_rank=3&RID=KW0TW9ZX016"",""WP_023265508.1"")"
TPA: hypothetical protein [Thermodesulfobacterium commune],Thermodesulfobacterium commune,46.6,46.6,20%,0.002,100.00,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBT03769.1?report=genbank&log$=prottop&blast_rank=4&RID=KW0TW9ZX016"",""HBT03769.1"")"
hypothetical protein [Staphylococcus haemolyticus],Staphylococcus haemolyticus,44.3,44.3,25%,0.004,83.33,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180552208.1?report=genbank&log$=prottop&blast_rank=5&RID=KW0TW9ZX016"",""WP_180552208.1"")"
hypothetical protein BVI434_1430017 [Burkholderia vietnamiensis],Burkholderia vietnamiensis,44.3,44.3,32%,0.004,74.19,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG9197929.1?report=genbank&log$=prottop&blast_rank=6&RID=KW0TW9ZX016"",""CAG9197929.1"")"
hypothetical protein [Burkholderia vietnamiensis],Burkholderia vietnamiensis,43.9,43.9,32%,0.004,74.19,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_224022643.1?report=genbank&log$=prottop&blast_rank=7&RID=KW0TW9ZX016"",""WP_224022643.1"")"
hypothetical protein [Enterococcus faecium],Enterococcus faecium,43.5,43.5,24%,0.005,91.30,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218588235.1?report=genbank&log$=prottop&blast_rank=8&RID=KW0TW9ZX016"",""WP_218588235.1"")"
hypothetical protein [Pedobacter sp. V48],Pedobacter sp. V48,43.9,43.9,27%,0.005,80.77,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048906144.1?report=genbank&log$=prottop&blast_rank=9&RID=KW0TW9ZX016"",""WP_048906144.1"")"
TPA: hypothetical protein [Planctomycetaceae bacterium],Planctomycetaceae bacterium,46.2,46.2,31%,0.005,62.16,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCP12397.1?report=genbank&log$=prottop&blast_rank=10&RID=KW0TW9ZX016"",""HCP12397.1"")"
NtaA/DmoA family FMN-dependent monooxygenase [Mycolicibacterium houstonense],Mycolicibacterium houstonense,45.8,45.8,18%,0.008,100.00,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_235654317.1?report=genbank&log$=prottop&blast_rank=11&RID=KW0TW9ZX016"",""WP_235654317.1"")"
nitronate monooxygenase [Bordetella bronchiseptica],Bordetella bronchiseptica,45.4,45.4,20%,0.008,100.00,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_235203746.1?report=genbank&log$=prottop&blast_rank=12&RID=KW0TW9ZX016"",""WP_235203746.1"")"
TPA: hypothetical protein [Candidatus Saccharibacteria bacterium],Candidatus Saccharibacteria bacterium,43.5,43.5,24%,0.008,82.61,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCR55606.1?report=genbank&log$=prottop&blast_rank=13&RID=KW0TW9ZX016"",""HCR55606.1"")"
hypothetical protein PCAR4_980001 [Paraburkholderia caribensis],Paraburkholderia caribensis,43.9,43.9,40%,0.008,53.19,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG9272188.1?report=genbank&log$=prottop&blast_rank=14&RID=KW0TW9ZX016"",""CAG9272188.1"")"
hypothetical protein [Xanthomonas phaseoli],Xanthomonas phaseoli,45.8,45.8,35%,0.009,67.65,404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033486297.1?report=genbank&log$=prottop&blast_rank=15&RID=KW0TW9ZX016"",""WP_033486297.1"")"
diguanylate cyclase [Klebsiella pneumoniae],Klebsiella pneumoniae,45.4,45.4,25%,0.009,87.50,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228692491.1?report=genbank&log$=prottop&blast_rank=16&RID=KW0TW9ZX016"",""WP_228692491.1"")"
TPA: sodium-translocating pyrophosphatase [Pseudothermotoga sp.],Pseudothermotoga sp.,45.4,45.4,20%,0.009,100.00,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBT25726.1?report=genbank&log$=prottop&blast_rank=17&RID=KW0TW9ZX016"",""HBT25726.1"")"
hypothetical protein [Enterococcus faecalis],Enterococcus faecalis,43.5,43.5,26%,0.010,84.00,92,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218587647.1?report=genbank&log$=prottop&blast_rank=18&RID=KW0TW9ZX016"",""WP_218587647.1"")"
hypothetical protein [Bifidobacterium breve],Bifidobacterium breve,43.5,43.5,23%,0.010,90.91,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_222103361.1?report=genbank&log$=prottop&blast_rank=19&RID=KW0TW9ZX016"",""WP_222103361.1"")"
exodeoxyribonuclease III (xth) [Pediococcus acidilactici D3],Pediococcus acidilactici D3,44.7,44.7,20%,0.012,100.00,203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOA08338.1?report=genbank&log$=prottop&blast_rank=20&RID=KW0TW9ZX016"",""EOA08338.1"")"
TPA: putative sulfate exporter family transporter [Thermodesulfobacterium commune],Thermodesulfobacterium commune,45.1,45.1,20%,0.014,100.00,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCP09848.1?report=genbank&log$=prottop&blast_rank=21&RID=KW0TW9ZX016"",""HCP09848.1"")"
hypothetical protein [Staphylococcus haemolyticus],Staphylococcus haemolyticus,42.7,42.7,19%,0.015,100.00,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219338830.1?report=genbank&log$=prottop&blast_rank=22&RID=KW0TW9ZX016"",""WP_219338830.1"")"
hypothetical protein [Staphylococcus haemolyticus],Staphylococcus haemolyticus,42.0,42.0,19%,0.016,100.00,54,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180535504.1?report=genbank&log$=prottop&blast_rank=23&RID=KW0TW9ZX016"",""WP_180535504.1"")"
TPA: 30S ribosomal protein S10 [Candidatus Saccharibacteria bacterium],Candidatus Saccharibacteria bacterium,42.7,42.7,20%,0.017,100.00,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCR55381.1?report=genbank&log$=prottop&blast_rank=24&RID=KW0TW9ZX016"",""HCR55381.1"")"
"ribosomal protein S2, rpsB [Pediococcus acidilactici D3]",Pediococcus acidilactici D3,44.3,44.3,18%,0.018,100.00,183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOA07717.1?report=genbank&log$=prottop&blast_rank=25&RID=KW0TW9ZX016"",""EOA07717.1"")"
TPR repeat protein [Achromobacter xylosoxidans NBRC 15126 = ATCC 27061],Achromobacter xylosoxidans NBRC 15126 = ATCC 27061,44.7,44.7,37%,0.019,60.00,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHC46683.1?report=genbank&log$=prottop&blast_rank=26&RID=KW0TW9ZX016"",""AHC46683.1"")"
hypothetical protein [Candidatus Kryptonium thompsoni],Candidatus Kryptonium thompsoni,43.1,43.1,20%,0.020,95.00,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234697942.1?report=genbank&log$=prottop&blast_rank=27&RID=KW0TW9ZX016"",""WP_234697942.1"")"
integrase [Shewanella decolorationis S12],Shewanella decolorationis S12,42.7,42.7,22%,0.024,90.48,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ESE43085.1?report=genbank&log$=prottop&blast_rank=28&RID=KW0TW9ZX016"",""ESE43085.1"")"
hypothetical protein [Bifidobacterium longum],Bifidobacterium longum,42.4,42.4,22%,0.029,90.48,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234884690.1?report=genbank&log$=prottop&blast_rank=29&RID=KW0TW9ZX016"",""WP_234884690.1"")"
TPA: hypothetical protein [Thermodesulfobacterium commune],Thermodesulfobacterium commune,43.5,43.5,35%,0.031,61.76,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBT03483.1?report=genbank&log$=prottop&blast_rank=30&RID=KW0TW9ZX016"",""HBT03483.1"")"
hypothetical protein SHD_0281 [Shewanella decolorationis S12],Shewanella decolorationis S12,40.8,40.8,19%,0.031,100.00,22,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ESE43080.1?report=genbank&log$=prottop&blast_rank=31&RID=KW0TW9ZX016"",""ESE43080.1"")"
TPA: hypothetical protein [Peptococcaceae bacterium],Peptococcaceae bacterium,42.4,42.4,19%,0.034,100.00,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBT48110.1?report=genbank&log$=prottop&blast_rank=32&RID=KW0TW9ZX016"",""HBT48110.1"")"
TPA: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,43.9,43.9,43%,0.034,53.66,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAE04310.1?report=genbank&log$=prottop&blast_rank=33&RID=KW0TW9ZX016"",""HAE04310.1"")"
hypothetical protein [Enterococcus faecium],Enterococcus faecium,41.6,41.6,19%,0.035,100.00,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218588234.1?report=genbank&log$=prottop&blast_rank=34&RID=KW0TW9ZX016"",""WP_218588234.1"")"
TPA: hypothetical protein [Flavobacteriaceae bacterium],Flavobacteriaceae bacterium,42.4,42.4,19%,0.038,100.00,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCZ09934.1?report=genbank&log$=prottop&blast_rank=35&RID=KW0TW9ZX016"",""HCZ09934.1"")"
TPA: hypothetical protein [Peptococcaceae bacterium],Peptococcaceae bacterium,43.9,43.9,19%,0.039,100.00,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAA89554.1?report=genbank&log$=prottop&blast_rank=36&RID=KW0TW9ZX016"",""HAA89554.1"")"
