Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Bombus impatiens feline leukemia virus subgroup C receptor-related protein 2-like (LOC100749562), mRNA",Bombus impatiens,916,916,100%,0.0,99.42,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003489599.4?report=genbank&log$=nucltop&blast_rank=1&RID=KPUYC5RG013"",""XM_003489599.4"")"
"PREDICTED: Bombus vosnesenskii feline leukemia virus subgroup C receptor-related protein 2-like (LOC117231203), mRNA",Bombus vosnesenskii,911,911,100%,0.0,99.22,1909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033489396.1?report=genbank&log$=nucltop&blast_rank=2&RID=KPUYC5RG013"",""XM_033489396.1"")"
"PREDICTED: Bombus bifarius feline leukemia virus subgroup C receptor-related protein 2-like (LOC117211133), mRNA",Bombus bifarius,911,911,100%,0.0,99.22,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033454748.1?report=genbank&log$=nucltop&blast_rank=3&RID=KPUYC5RG013"",""XM_033454748.1"")"
"PREDICTED: Bombus huntii feline leukemia virus subgroup C receptor-related protein 2-like (LOC126864111), mRNA",Bombus huntii,911,911,100%,0.0,99.22,5014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050615089.1?report=genbank&log$=nucltop&blast_rank=4&RID=KPUYC5RG013"",""XM_050615089.1"")"
"PREDICTED: Bombus vancouverensis nearcticus feline leukemia virus subgroup C receptor-related protein 2-like (LOC117166554), mRNA",Bombus vancouverensis nearcticus,907,907,100%,0.0,99.03,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033350601.1?report=genbank&log$=nucltop&blast_rank=5&RID=KPUYC5RG013"",""XM_033350601.1"")"
"PREDICTED: Bombus terrestris feline leukemia virus subgroup C receptor-related protein 2 (LOC100643249), mRNA",Bombus terrestris,890,890,99%,0.0,98.44,2454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003398769.4?report=genbank&log$=nucltop&blast_rank=6&RID=KPUYC5RG013"",""XM_003398769.4"")"
"PREDICTED: Bombus pyrosoma feline leukemia virus subgroup C receptor-related protein 2-like (LOC122573135), mRNA",Bombus pyrosoma,888,888,99%,0.0,98.44,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043739131.1?report=genbank&log$=nucltop&blast_rank=7&RID=KPUYC5RG013"",""XM_043739131.1"")"
"PREDICTED: Bombus affinis feline leukemia virus subgroup C receptor-related protein 2-like (LOC126917058), mRNA",Bombus affinis,885,885,99%,0.0,98.25,2431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050723470.1?report=genbank&log$=nucltop&blast_rank=8&RID=KPUYC5RG013"",""XM_050723470.1"")"
"PREDICTED: Frieseomelitta varia feline leukemia virus subgroup C receptor-related protein 2-like (LOC122536293), mRNA",Frieseomelitta varia,596,596,96%,1e-165,86.67,2184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043668538.1?report=genbank&log$=nucltop&blast_rank=9&RID=KPUYC5RG013"",""XM_043668538.1"")"
"PREDICTED: Eufriesea mexicana feline leukemia virus subgroup C receptor-related protein 2 (LOC108553917), mRNA",Eufriesea mexicana,578,578,94%,3e-160,86.39,2244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017909008.1?report=genbank&log$=nucltop&blast_rank=10&RID=KPUYC5RG013"",""XM_017909008.1"")"
